Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
87602423561807,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:07.9391104+01:00
87602462588377,1,77.1940231,976.199036,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:07.9762432+01:00
87602502456704,2,16.9810753,1029.03955,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.0157952+01:00
87602542336139,3,50.2109756,1016.33276,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.0573568+01:00
87602582204792,4,38.7841873,1029.58459,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.0947072+01:00
87602622073322,5,58.1865273,1037.3053,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.1349632+01:00
87602661952960,6,35.4052238,1031.41284,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.1706112+01:00
87602701821532,7,38.5026512,1021.86121,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.2103936+01:00
87602741701170,8,37.2404938,1031.85596,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.2523648+01:00
87602782605751,9,10.666667,1028.81152,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.2905984+01:00
87602822474038,10,29.0505047,1034.255,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.3300608+01:00
87602862353676,11,12.0172043,1036.68604,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.3709312+01:00
87602902222288,12,19.4196892,1037.17273,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.4135680+01:00
87602942090696,13,11.6190472,981.152405,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.4506112+01:00
87602981970498,14,14.1285715,1039.89526,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.4905472+01:00
87603021838947,15,45.6838722,1038.07092,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.5307392+01:00
87603061729734,16,29.8266659,1035.52197,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.5710080+01:00
87603101598509,17,12.5512819,1038.17432,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.6117248+01:00
87603141466754,18,56.9960098,1037.13171,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.6510336+01:00
87603181335203,19,28.5005455,1035.1825,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.6901376+01:00
87603221214923,20,20.1153145,1034.27527,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.7309056+01:00
87603261083209,21,26.3018818,1036.94543,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.7698688+01:00
87603300951496,22,28.2024651,1038.16882,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.8168448+01:00
87603340831541,23,14.2957878,1037.63464,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.8496768+01:00
87603380700031,24,26.5029182,1035.4895,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.8899968+01:00
87603421615802,25,13.9703312,1039.98779,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.9330688+01:00
87603461484129,26,18.2132263,1028.45068,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:08.9711232+01:00
87603501352740,27,564.358704,31.7025223,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.0095616+01:00
87603541232176,28,555.992065,110.918076,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.0514944+01:00
87603581100706,29,555.778809,194.458527,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.0921984+01:00
87603620969074,30,190.961502,43.5153961,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.1331200+01:00
87603660849078,31,207.301483,112.207939,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.1711360+01:00
87603700728798,32,129.263443,60.7593803,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.2099712+01:00
87603740608640,33,144.457809,87.3710556,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.2498560+01:00
87603780476845,34,171.640305,105.504028,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.2930944+01:00
87603820345294,35,186.736237,121.751343,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.3298816+01:00
87603860213499,36,194.781937,137.070618,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.3707904+01:00
87603900093667,37,208.46785,148.907837,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.4121344+01:00
87603939961871,38,218.423599,158.362259,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.4505856+01:00
87603979830280,39,232.638748,165.65712,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.4915840+01:00
87604019721556,40,249.346054,180.269653,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.5315840+01:00
87604060614540,41,259.013123,173.533951,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.5724032+01:00
87604100494138,42,273.765228,177.248428,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.6136832+01:00
87604140362384,43,290.888367,177.308197,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.6498816+01:00
87604180231077,44,306.693604,173.066147,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.6885248+01:00
87604220110553,45,312.739685,169.211945,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.7289984+01:00
87604259978961,46,319.751038,169.259567,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.7701632+01:00
87604299859088,47,320.547852,160.196579,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.8090240+01:00
87604339738727,48,321.005157,156.940186,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.8493824+01:00
87604379607298,49,321.921875,160.97168,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.8917888+01:00
87604419475625,50,325.22348,159.67836,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.9312896+01:00
87604459355507,51,322.859253,162.841888,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:09.9695744+01:00
87604499223916,52,316.015015,162.685959,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.0088320+01:00
87604539092202,53,303.00769,162.999893,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.0521728+01:00
87604578972044,54,286.040802,163.512985,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.0898944+01:00
87604618840127,55,264.249756,161.691452,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.1280128+01:00
87604658720335,56,239.089508,163.348999,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.1704576+01:00
87604699624428,57,216.981277,164.983047,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.2088576+01:00
87604739493080,58,204.624039,167.908463,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.2511616+01:00
87604779372841,59,204.901993,168.438171,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.2908032+01:00
87604819241168,60,221.323364,156.613464,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.3301120+01:00
87604859109576,61,232.552139,126.651688,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.3695872+01:00
87604899000325,62,453.033112,108.040298,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.4098560+01:00
87604938868975,63,507.646088,47.8443031,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.4504448+01:00
87604978748695,64,749.411255,642.244568,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.4894720+01:00
87605018617104,65,760.780945,646.181152,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.5293696+01:00
87605058485756,66,771.726746,651.289917,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.5692288+01:00
87605098354205,67,782.860596,658.658569,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.6093184+01:00
87605138233844,68,792.319946,667.882385,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.6511232+01:00
87605178102415,69,803.964111,675.760132,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.6901248+01:00
87605217970701,70,812.317993,684.405823,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.7273088+01:00
87605257861733,71,817.836914,693.278687,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.7666304+01:00
87605297730304,72,822.690735,699.861755,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.8057728+01:00
87605338634277,73,829.223755,709.746155,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.8498560+01:00
87605378502766,74,835.50061,719.715515,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.8874496+01:00
87605418371620,75,841.189819,732.193481,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.9283328+01:00
87605458251057,76,843.184021,741.778198,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:10.9700096+01:00
87605498119586,77,841.278564,749.965027,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.0092800+01:00
87605537999306,78,836.60968,756.776733,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.0477696+01:00
87605577879435,79,828.534302,761.841736,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.0870144+01:00
87605617747719,80,819.455872,768.847351,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.1274752+01:00
87605657627197,81,809.778564,776.399292,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.1677056+01:00
87605697484617,82,796.904785,781.390747,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.2067456+01:00
87605737364174,83,784.006287,786.763123,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.2468992+01:00
87605777232664,84,771.648071,794.557617,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.2888576+01:00
87605817112424,85,762.406311,803.192566,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.3274624+01:00
87605856992389,86,754.309448,811.252991,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.3671552+01:00
87605896860471,87,746.351624,819.359009,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.4088320+01:00
87605936740476,88,735.091064,826.11438,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.4491008+01:00
87605977633341,89,727.527649,832.678589,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.4897152+01:00
87606017501790,90,723.170898,835.176514,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.5281152+01:00
87606057381673,91,720.937439,841.826904,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.5661440+01:00
87606097249957,92,719.62439,850.860596,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.6066304+01:00
87606137140950,93,720.919373,857.938538,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.6470912+01:00
87606177009724,94,717.861694,864.845276,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.6861056+01:00
87606216877685,95,715.136414,870.32428,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.7260800+01:00
87606256757608,96,709.769775,876.279663,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.7665024+01:00
87606296626220,97,705.104858,884.80896,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-09T15:50:11.8097920+01:00
