Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
91504612357989,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.7206400+01:00
91504651361082,1,37.1221504,971.746948,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.7550336+01:00
91504691229531,2,5.18570614,1012.29291,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.7942272+01:00
91504731098061,3,29.5827141,999.376465,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.8382080+01:00
91504770989215,4,31.3495636,1013.33362,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.8752640+01:00
91504810857827,5,22.0373745,1011.84064,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.9157504+01:00
91504850726153,6,33.0673485,1020.63025,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.9584640+01:00
91504890594765,7,25.4741249,1018.30029,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:29.9941248+01:00
91504930474770,8,23.5134678,1021.01013,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.0350336+01:00
91504970343138,9,28.6204796,1011.90918,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.0730880+01:00
91505010211587,10,22.7559147,1017.72504,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.1166720+01:00
91505050091591,11,28.6172676,1017.54797,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.1533568+01:00
91505089971230,12,25.8265095,1020.65796,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.1930752+01:00
91505130864662,13,20.9600258,1021.12897,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.2342912+01:00
91505170744179,14,27.9593315,1020.66327,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.2743424+01:00
91505210612831,15,23.7983456,1042,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.3132288+01:00
91505250481240,16,14.0563288,1019.90521,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.3523072+01:00
91505290349933,17,19.6822491,1030.90686,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.3932160+01:00
91505330229653,18,21.6095772,1021.15576,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.4359040+01:00
91505370109495,19,30.3174229,1034.18628,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.4756480+01:00
91505409989418,20,14.3743067,1010.91486,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.5123328+01:00
91505449857989,21,7.61104774,1020.7196,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.5543168+01:00
91505489726235,22,16.4063168,1015.81647,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.5938944+01:00
91505529595009,23,18.9339066,1017.11304,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.6363392+01:00
91505569463580,24,29.9297256,1028.84961,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.6722432+01:00
91505609343219,25,27.7638588,1024.5166,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.7125504+01:00
91505649211790,26,26.8649445,1021.44604,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.7528832+01:00
91505689080402,27,25.0830841,1021.5481,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.7910016+01:00
91505728971637,28,23.1749249,1016.71771,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.8330880+01:00
91505769864581,29,8.25866032,1017.8576,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.8726016+01:00
91505809732867,30,26.3202553,1023.72021,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.9117824+01:00
91505849612506,31,18.3630295,1025.24182,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.9526272+01:00
91505889481647,32,21.1589336,1020.42358,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:30.9928064+01:00
91505929349811,33,24.0363522,1017.18524,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.0322816+01:00
91505969229693,34,990.701965,255.5448,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.0721664+01:00
91506009109454,35,865.559204,265.36087,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.1118208+01:00
91506048977781,36,748.529236,298.391602,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.1538432+01:00
91506088858152,37,654.634521,338.697601,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.1962368+01:00
91506128726194,38,587.345093,369.480591,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.2334336+01:00
91506168594602,39,533.978699,403.931213,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.2744320+01:00
91506208463499,40,495.036926,436.543457,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.3128448+01:00
91506248332111,41,475.286743,464.533936,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T14:07:31.3531008+01:00
