Value.Item1.Item1,Value.Item1.Item2,Value.Item1.Item3.X,Value.Item1.Item3.Y,Value.Item2.Item1.Item1,Value.Item2.Item1.Item2,Value.Item2.Item1.Item3,Value.Item2.Item1.Item4,Value.Item2.Item1.Item5,Value.Item2.Item2.Item1,Value.Item2.Item2.Item2,Value.Item2.Item2.Item3,Value.Item2.Item2.Item4,Value.Item2.Item2.Item5,Value.Item2.Item3.Item1,Value.Item2.Item3.Item2,Value.Item2.Item3.Item3,Value.Item2.Item3.Item4,Value.Item2.Item3.Item5,Value.Item2.Item4.Item1,Value.Item2.Item4.Item2,Value.Item2.Item4.Item3,Value.Item2.Item4.Item4,Value.Item2.Item4.Item5,Timestamp
90966634215656,0,NaN,NaN,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.6715264+01:00
90966673218911,1,36.8697968,959.749146,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.7104896+01:00
90966713087360,2,22.6051788,1026.44275,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.7490944+01:00
90966752967365,3,31.3823833,1020.62207,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.7925632+01:00
90966792835447,4,23.7602997,1012.84894,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.8305664+01:00
90966832704425,5,25.3969746,1022.50226,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.8707456+01:00
90966872572915,6,30.0332928,1016.13873,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.9085440+01:00
90966912452716,7,24.0749664,1015.03467,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.9481600+01:00
90966952332396,8,24.7441158,1017.24414,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:31.9881600+01:00
90966992200723,9,21.8621902,1020.60291,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.0307200+01:00
90967032080849,10,23.6843777,1015.52435,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.0677248+01:00
90967071949502,11,27.7061481,1019.56451,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.1079040+01:00
90967111817707,12,21.7730255,1018.80518,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.1468032+01:00
90967152722166,13,24.2519608,1019.66675,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.1932800+01:00
90967192602211,14,20.525856,1020.69983,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.2285696+01:00
90967232470579,15,14.961854,1024.72656,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.2688128+01:00
90967272339313,16,26.4349766,1014.04932,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.3077120+01:00
90967312218870,17,15.4048262,1022.45087,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.3491328+01:00
90967352087482,18,21.2880116,1021.59149,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.3872256+01:00
90967391956012,19,35.4928589,1012.53247,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.4274304+01:00
90967431835895,20,10.5858231,1003.67896,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.4696064+01:00
90967471704222,21,20.0912132,1020.86188,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.5126784+01:00
90967511584227,22,26.3841305,1025.1958,1,269,349,665,745,2,753,833,216,296,3,0,0,0,0,4,0,0,0,0,2024-07-04T13:58:32.5482240+01:00
